tsne_1,tsne_2
67.51396,26.285364
51.17705,-20.191729
28.780005,15.253568
3.6690972,12.288752
-0.64109373,-1.4407154
1.2615547,13.24377
-42.318405,-7.4366465
-23.58172,-10.627025
-28.87176,10.1018095
-61.58158,23.204887
40.017857,-19.532545
-53.16163,-15.659377
-58.558846,20.13158
36.784992,2.7668061
-53.74831,23.566298
-22.044857,4.825263
62.79801,-12.214154
-56.22432,12.966462
-36.842728,8.844675
-38.643814,8.607355
40.148193,2.1909518
-83.20433,-2.473489
-9.202377,-12.916142
7.9202366,-5.4942474
65.24959,29.461262
86.533356,7.96081
-17.557121,29.88544
-33.98829,34.86136
88.58904,4.171908
51.32488,-4.767808
38.970737,-18.88911
22.663994,20.268776
-57.501717,3.0612197
-17.244734,-14.285365
7.159049,8.946058
61.05005,-1.0384675
-16.761003,-17.320633
28.154661,1.4477466
-6.88931,2.5842671
31.302498,-1.0394086
-57.249565,-5.4754558
-22.59515,-27.486732
-0.54522413,-11.37785
-62.25416,-19.117235
50.88001,-15.545018
-11.366187,14.547363
60.61779,-15.03164
-35.43778,1.8773475
-37.53507,1.6961375
63.35956,1.3293903
75.07854,23.110373
-28.043983,-12.054767
-28.176102,-10.072225
-38.714,-2.2496784
-29.325256,-10.65941
-12.594817,14.461189
58.807278,19.201698
-17.175407,-9.756855
-17.409073,-29.545597
38.466747,-0.49505296
76.78612,20.934572
-8.605287,3.7366838
-42.569187,5.1445203
31.76055,3.98866
12.366466,8.736082
33.608307,2.946043
-19.166096,-19.28219
-45.6985,5.9959874
-24.308357,-16.26697
4.12441,12.362243
64.16441,-11.182408
-12.954248,-3.4872918
-44.35725,2.1286066
41.976704,-17.710482
-48.4482,12.062102
2.1169155,41.16898
30.914074,-14.121943
-15.540532,-11.621072
34.12881,-15.09461
33.688038,-17.97002
-20.314976,-18.024023
32.461185,6.6968102
-21.47393,-3.8456833
55.160355,18.445593
-50.500896,7.2577825
-48.333595,26.24606
-18.046839,-23.437534
-62.463375,8.737217
16.472483,16.59407
64.82108,29.015493
-17.713,17.031519
-53.15197,20.090443
56.90667,-17.061243
-45.492462,-9.869494
37.488827,-11.879122
36.968616,-16.795464
61.38096,-18.020311
-33.81485,-2.5744832
-45.03654,0.99429965
-49.6111,0.5829648
-26.817636,-19.619339
5.009685,-21.808357
60.738396,28.116844
-20.454517,-20.745405
-44.074505,4.7206273
-0.45914426,11.543978
48.853046,-21.35675
-35.940067,-18.22104
-20.373981,18.021578
11.463357,10.064027
-17.67402,-16.32699
-13.5077715,8.18564
-43.247406,8.924818
28.338518,10.6003895
1.177807,-0.014442434
-15.805616,-16.072483
24.085135,8.009617
-41.783123,16.06079
-2.963696,-25.861328
-18.196457,-28.347944
5.3295054,17.04139
-50.51251,8.812734
60.30669,0.25315806
47.791004,-21.105341
38.3385,-13.671865
0.9469173,-6.0735254
-66.52278,-2.855007
-26.896872,-13.736434
25.177359,2.3222992
71.20024,30.410624
-12.982795,27.0686
49.37743,-22.413912
-49.40375,24.41589
14.658048,9.452739
-44.229874,18.309418
60.9161,-1.3742238
54.018055,-11.649855
22.802647,13.948705
-58.568214,6.3271933
